# https://iopscience.iop.org/article/10.1086/509715/pdf - Torres 2007
# https://iopscience.iop.org/article/10.1086/379281/pdf - Hatzes et al. (2003)

# Index definitions:
# 0 - McDonald I (Hatzes+03)
# 1 - Various zero-point-corrected instruments (Torres+07)
# 2 - CFHT (Walker+92)
# 3 - McDonald II (Hatzes+03)
# 4 - McDonald III (Hatzes+03)
# 5 - Various zero-point-corrected instruments (Griffin+02)


Epoch[JD]    RV[m/s]      RV_err[m/s] InstrumentID

2447368.96570	550.00          19.00	0
2455399.64295468   13206.0     5.3  4
2455399.66619498   13205.4     5.2  4
2455399.66814899   13206.0     5.5  4
2455399.67011491   13209.8     5.4  4
2455470.84096124   13237.8     5.3  4
2455470.84251129   13242.9     5.0  4
2455470.84423565   13238.4     4.9  4
2455494.80474722   13251.0     5.0  4
2455494.80644725   13251.0     5.2  4
2455494.80810562   13247.2     5.1  4
2455494.80976387   13247.3     5.0  4
2455494.81136656   13250.1     5.5  4
2455526.69448644   13267.7     5.1  4
2455526.69710205   13263.5     5.3  4
2455526.69940425   13266.5     5.1  4
2455526.70168213   13260.5     5.2  4
2455526.70398676   13263.5     5.1  4
2455526.70633374   13256.8     4.9  4
2455585.60133803   13276.6     5.4  4
2455585.60519205   13275.4     5.1  4
2455585.60978516   13281.3     5.1  4
2455761.74418658   13313.8     6.6  4
2455761.74583444   13315.0     6.1  4
2455761.74747848   13334.7     6.6  4
2455870.74594451   13356.6     5.4  4
2455870.74908297   13347.9     5.3  4
2456172.87929406   13363.5     5.3  4
2456172.88123754   13363.2     5.1  4
2456179.88249082   13364.7     5.1  4
2456179.88400454   13360.8     5.0  4
2456179.88551768   13365.5     5.1  4
2456180.83579423   13366.9     6.9  4
2456180.83751455   13371.2     7.1  4
2456180.83924112   13363.0     6.2  4
2456235.77143342   13408.9     5.6  4
2456235.77229801   13404.3     5.5  4
2456235.77315531   13402.2     5.3  4
2456239.71564019   13412.5     5.9  4
2456239.71710063   13405.8     5.6  4
2456266.87039542   13406.8     6.0  4
2456266.87186114   13409.5     6.0  4
2456266.87332918   13405.9     5.5  4
2456518.93313249   13496.5     4.8  4
2456518.93451287   13495.7     5.0  4
2456518.93589383   13493.8     5.0  4
2456561.81854077   13512.0     5.3  4
2456590.81124821   13516.9     4.8  4
2456590.81292382   13518.1     4.8  4
2456623.62700167   13536.6     5.2  4
2456623.62891856   13535.6     5.3  4
2456623.63083707   13531.9     5.6  4
2456640.59945487   13530.0     5.2  4
2456640.60133944   13526.4     5.3  4
2456640.60319879   13533.0     5.5  4
2456672.58776213   13536.0     4.8  4
2456672.58934425   13539.7     4.9  4
2456672.59091295   13535.0     4.7  4
2456697.55962879   13538.6     5.4  4
2456697.56165683   13531.7     5.2  4
2456697.56372642   13536.5     5.3  4
2456861.91438076   13533.0     5.0  4
2456861.91657471   13533.6     4.9  4
2456861.91855105   13528.6     5.0  4
2456883.93219513   13531.7     5.0  4
2456883.93359635   13537.4     5.1  4
2456883.93502604   13531.8     4.8  4
