Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-11-24T11:58:51.285,2,0.005310082962969926,-0.3112300023262651,FoVF,0.5612156174102176,0.7094436088721174,2457351.002680066
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-12-11T12:00:22.187,1,0.006317418380722658,0.7092858776352355,FoVF,-0.5730407914380663,0.7096037096638712,2457368.003593859
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-12-11T16:14:02.200,7,-0.005753824734084822,0.7145972525688965,FoVP,-0.5792722964202446,0.7047359990965152,2457368.1797488825
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-01-18T15:07:51.024,1,0.004406982940423089,-1.4197795136865128,FoVP,0.6676394219257945,0.6994677485077225,2457406.1327831447
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-02-11T14:58:28.576,4,-0.0017852048524548277,-0.2737965489253765,FoVP,-0.6971032722528828,0.706791443680971,2457430.125308407
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-03-15T08:29:14.579,6,-0.005012791263341539,-2.348206940845209,FoVP,0.6846466517704891,0.7071161573560053,2457462.853623
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-03-15T10:15:48.768,5,-1.413065751835423E-4,-2.350608601918233,FoVF,0.6854275603010114,0.7062475791147467,2457462.9276268883
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-04-20T14:06:24.776,3,6.692390412338612E-4,-1.4926139548862296,FoVP,-0.6089813047160864,0.7125935974332044,2457499.086623203
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-04-20T15:52:58.970,6,-0.003069017589997201,-1.4964000154604877,FoVF,-0.6071750678063026,0.7140198076544162,2457499.160628468
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-05-18T14:06:19.441,7,-0.006625386784772241,2.904640282617013,FoVP,0.5666333153207896,0.7248971355137908,2457527.0862195967
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-05-18T15:52:53.584,6,-0.0032105937651807654,2.900653662133787,FoVF,0.5685178949843984,0.7234213918838753,2457527.1602257043
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-06-29T03:30:17.700,2,0.004523467706254118,-2.7358355640589114,FoVF,-0.6401629449801977,0.7210916424300254,2457568.6450388795
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-06-29T07:43:57.712,6,-0.005019397483755318,-2.7437102149300316,FoVP,-0.6368267340117364,0.7244352867214991,2457568.82120095
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-07-30T13:32:24.789,7,-0.006241442153391083,1.5465518731703867,FoVP,0.7024148608656117,0.7276756960801504,2457600.0642212746
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-07-30T15:18:58.967,6,-0.0015923554692358248,1.544192684569906,FoVF,0.7033389844095513,0.7268784490498171,2457600.1382308784
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-08-30T03:03:04.991,5,-1.3912089211700387E-4,2.6341896712368196,FoVF,-0.7219045420942551,0.7202419912921012,2457630.628466243
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-10-06T12:27:02.001,1,0.004706294383760646,0.5159421851838174,FoVP,0.6470850678048315,0.7197867504141741,2457668.021517802
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-10-26T06:26:07.503,5,-0.002803312773199271,1.6037331076695467,FoVP,-0.6043227953286037,0.7097531958138281,2457687.7713814992
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-12-05T00:57:18.716,1,0.006617762683379274,-0.5371822899404262,FoVF,0.5695736177628621,0.7095820386980367,2457727.5432190252
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-12-22T17:11:26.088,2,0.002693209730437987,0.506754559176102,FoVP,-0.5988280725596657,0.7095906804235711,2457745.2194021237
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2016-12-22T18:58:00.297,6,-0.002513666833002608,0.5086828675115598,FoVF,-0.601227791024196,0.7076943942013574,2457745.293407502
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-01-28T22:11:26.973,1,0.004419425850028444,-1.619877500268172,FoVP,0.6911632308397914,0.699669169160902,2457782.4265464065
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-02-23T23:20:56.498,1,0.004631358169099447,-0.4813419262600434,FoVP,-0.700824197344833,0.7093297213809376,2457808.4736980987
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-02-24T01:07:30.717,5,-6.514346578991982E-4,-0.482820922373997,FoVF,-0.7006001750514181,0.7095294789250175,2457808.5477020703
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-03-27T16:59:38.276,5,-0.0020396775838051676,-2.529326535918996,FoVP,0.6626185489925227,0.70913367590815,2457840.2076321207
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-03-27T18:46:12.488,3,0.0025184826310212694,-2.5322113509969757,FoVF,0.663713013585051,0.7079725394046787,2457840.2816366223
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-05-05T06:22:46.761,3,0.0030411750820610547,-1.775094788466408,FoVF,-0.5841417739399982,0.7148231276127859,2457878.7644328047
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2017-05-05T10:36:26.744,6,-0.005262957346349687,-1.7845310376407577,FoVP,-0.5796420531272644,0.7183303938250999,2457878.94058791
